선수ID,선수이름,포지션,보유신규특성,국가,주발,약발,클럽1,클럽2,클럽3,클럽4,클럽5,클럽6,클럽7,클럽8
877000027,조 콜,RW,트릭스터,잉글랜드,양발,5,애스턴 빌라,웨스트 햄 유나이티드,LOSC 릴,리버풀,첼시,,,
877000041,이니에스타,CM,커맨더,스페인,오른발,4,FC 바르셀로나,,,,,,,
877000240,로이 킨,CDM,와일드 태클러,아일랜드,오른발,3,셀틱,맨체스터 유나이티드,,,,,,
877000246,폴 스콜스,CM,커맨더,잉글랜드,오른발,4,맨체스터 유나이티드,,,,,,,
877000388,솔 캠벨,CB,와일드 태클러,잉글랜드,오른발,3,뉴캐슬 유나이티드,아스널,토트넘 홋스퍼,,,,,
877000488,올리버 칸,GK,GK 빠른 반응,독일,오른발,2,바이에른 뮌헨,,,,,,,
877001025,후이 코스타,CAM,커맨더,포르투갈,오른발,4,SL 벤피카,밀라노 FC,피오렌티나,,,,,
877001041,하비에르 사네티,CDM,프레데터,아르헨티나,오른발,4,롬바르디아 FC,,,,,,,
877001109,파올로 말디니,CB,와일드 태클러,이탈리아,양발,5,밀라노 FC,,,,,,,
877001179,잔루이지 부폰,GK,GK 데드아이,이탈리아,오른발,2,파르마,유벤투스,파리 생제르맹,,,,,
877001551,뤼도비크 지울리,RW,라인 브레이커,프랑스,오른발,4,FC 로리앙,AS 모나코,파리 생제르맹,AS 로마,FC 바르셀로나,올랭피크 리옹,,
877001605,로베르 피레스,LM,없음,프랑스,오른발,4,애스턴 빌라,비야레알 CF,아스널,올랭피크 마르세유,FC 메스,,,
877001625,티에리 앙리,ST,라인 브레이커,프랑스,오른발,4,아스널,FC 바르셀로나,유벤투스,AS 모나코,,,,
877001668,클로드 마켈렐레,CDM,와일드 태클러,프랑스,오른발,3,파리 생제르맹,첼시,레알 마드리드,셀타 비고,올랭피크 마르세유,FC 낭트,,
877001845,올레 군나르 솔샤르,ST,라인 브레이커,노르웨이,양발,5,맨체스터 유나이티드,,,,,,,
877003622,히카르두 카르발류,CB,와일드 태클러,포르투갈,오른발,3,상하이 하이강,AS 모나코,레알 마드리드,첼시,FC 포르투,,,
877004000,데니스 베르캄프,CF,아크로바틱 피니셔,네덜란드,양발,5,아스널,롬바르디아 FC,아약스,,,,,
877005003,카푸,RB,없음,브라질,오른발,3,밀라노 FC,AS 로마,,,,,,
877005454,비셴테 리자라쥐,LB,체이서,프랑스,왼발,3,바이에른 뮌헨,올랭피크 마르세유,아틀레틱 빌바오,,,,,
877005471,프랭크 램파드,CAM,2개의 심장,잉글랜드,양발,5,맨체스터 시티,첼시,웨스트 햄 유나이티드,,,,,
877005680,클라위베르트,ST,아크로바틱 피니셔,네덜란드,양발,5,LOSC 릴,발렌시아 CF,뉴캐슬 유나이티드,FC 바르셀로나,밀라노 FC,아약스,,
877006975,프레디 융베리,RM,2개의 심장,스웨덴,양발,5,셀틱,웨스트 햄 유나이티드,아스널,,,,,
877007763,안드레아 피를로,CM,커맨더,이탈리아,양발,5,유벤투스,밀라노 FC,롬바르디아 FC,,,,,
877007826,로빈 반페르시,ST,아크로바틱 피니셔,네덜란드,양발,5,페예노르트,맨체스터 유나이티드,아스널,,,,,
877009676,사뮈엘 에토,ST,라인 브레이커,카메룬,오른발,4,삼프도리아,에버턴,첼시,롬바르디아 FC,FC 바르셀로나,RCD 마요르카,레알 마드리드,RCD 에스파뇰
877010535,차비,CM,커맨더,스페인,오른발,4,FC 바르셀로나,,,,,,,
877010704,로이 마카이,ST,아크로바틱 피니셔,네덜란드,양발,5,페예노르트,바이에른 뮌헨,,,,,,
877011141,미로슬라프 클로제,ST,크로스 포쳐,독일,오른발,4,라티움,바이에른 뮌헨,베르더 브레멘,,,,,
877013038,카를레스 푸욜,CB,와일드 태클러,스페인,오른발,3,FC 바르셀로나,,,,,,,
877013128,안드리 셰우첸코,ST,없음,우크라이나,양발,5,디나모 키이우,밀라노 FC,첼시,,,,,
877016619,이반 코르도바,CB,와일드 태클러,콜롬비아,오른발,3,롬바르디아 FC,,,,,,,
877020801,크리스티아누 호날두,ST,트릭스터,포르투갈,양발,5,맨체스터 유나이티드,유벤투스,레알 마드리드,스포르팅 CP,,,,
877021146,마이클 캐릭,CDM,커맨더,잉글랜드,오른발,4,맨체스터 유나이티드,토트넘 홋스퍼,웨스트 햄 유나이티드,,,,,
877025420,클라우디오 피사로,ST,없음,페루,오른발,4,베르더 브레멘,바이에른 뮌헨,첼시,,,,,
877026709,라파엘 마르케스,CB,타이탄,멕시코,오른발,3,엘라스 베로나,FC 바르셀로나,AS 모나코,,,,,
877028130,호나우지뉴,LW,트릭스터,브라질,오른발,4,밀라노 FC,FC 바르셀로나,파리 생제르맹,,,,,
877028765,제 호베르투,LM,2개의 심장,브라질,왼발,3,함부르크 SV,바이에른 뮌헨,바이엘 04 레버쿠젠,레알 마드리드,,,,
877031432,디디에 드로그바,ST,크로스 포쳐,코트디부아르,오른발,4,첼시,갈라타사라이,상하이 선화,올랭피크 마르세유,,,,
877034079,애슐리 콜,LB,프레데터,잉글랜드,왼발,3,LA 갤럭시,AS 로마,첼시,크리스털 팰리스,아스널,,,
877041236,즐라탄,ST,아크로바틱 피니셔,스웨덴,양발,5,밀라노 FC,LA 갤럭시,맨체스터 유나이티드,파리 생제르맹,FC 바르셀로나,롬바르디아 FC,유벤투스,아약스
877045197,샤비 알론소,CDM,커맨더,스페인,오른발,4,바이에른 뮌헨,레알 마드리드,리버풀,SD 에이바르,레알 소시에다드,,,
877047390,지우베르투,CDM,파이터,브라질,오른발,4,아스널,,,,,,,
877048940,페트르 체흐,GK,GK 데드아이,체코,왼발,3,아스널,첼시,스타드 렌,스파르타 프라하,,,,
877054050,웨인 루니,CF,없음,잉글랜드,오른발,4,에버턴,맨체스터 유나이티드,,,,,,
877107715,루시우,CB,프레데터,브라질,오른발,3,유벤투스,롬바르디아 FC,바이에른 뮌헨,바이엘 04 레버쿠젠,,,,
877121939,필립 람,RB,체이서,독일,양발,5,VfB 슈투트가르트,바이에른 뮌헨,,,,,,
877121944,슈바인슈타이거,CM,커맨더,독일,오른발,4,맨체스터 유나이티드,바이에른 뮌헨,,,,,,
877135455,마이콘,RB,와일드 태클러,브라질,오른발,4,AS 로마,맨체스터 시티,롬바르디아 FC,AS 모나코,,,,
877137186,안드레아 바르찰리,CB,없음,이탈리아,오른발,3,유벤투스,VfL 볼프스부르크,,,,,,
877138123,에스테반 캄비아소,CDM,2개의 심장,아르헨티나,왼발,4,레스터 시티,롬바르디아 FC,레알 마드리드,,,,,
